address,district,building,"last date",case_id,"matched address (arcGIS)",Score,X,Y,LongLabel,Addr_type
"Tower 1, Kowloon Commerce Centre, Kwai Tsing","Kwai Tsing","Tower 1, Kowloon Commerce Centre","2020-02-01 00:00:00",18,"Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung, Kwai Tsing",100,114.1326068,22.36154555,"Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung, Kwai Tsing, HKG",PointAddress
"15 Celestial Heights, 80 Sheung Shing Street, Kowloon City","Kowloon City","15 Celestial Heights, 80 Sheung Shing Street","2020-02-01 00:00:00",16,"Celestial Height, 80 Sheung Shing Street, Ma Tau Wai, Kowloon City",98.62,114.185641,22.31977706,"Celestial Height, 80 Sheung Shing Street, Ma Tau Wai, Kowloon City, HKG",PointAddress
"Block 1, Site 11, Whampoa Garden, Kowloon City","Kowloon City","Block 1, Site 11, Whampoa Garden","2020-02-01 00:00:00",13,"Block 1, Gun Club Hill Barracks, Jordan, Yau Tsim Mong",96.39,114.1766848,22.3044982,"Block 1, Gun Club Hill Barracks, Jordan, Yau Tsim Mong, HKG",PointAddress
"Block 1, Site 11, Whampoa Garden, Kowloon City","Kowloon City","Block 1, Site 11, Whampoa Garden","2020-02-01 00:00:00",15,"Block 1, Gun Club Hill Barracks, Jordan, Yau Tsim Mong",96.39,114.1766848,22.3044982,"Block 1, Gun Club Hill Barracks, Jordan, Yau Tsim Mong, HKG",PointAddress
"183 Ma Tau Wai Road, Kowloon City","Kowloon City","183 Ma Tau Wai Road","2020-02-03 00:00:00",18,"183 Ma Tau Wai Road, Ma Tau Wai, Kowloon City",100,114.1877376,22.31937549,"183 Ma Tau Wai Road, Ma Tau Wai, Kowloon City, HKG",PointAddress
"Tower 2, Silvercord, Yau Tsim Mong","Yau Tsim Mong","Tower 2, Silvercord","2020-02-04 00:00:00",19,"Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Yau Tsim Mong",100,114.169292,22.29775827,"Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Yau Tsim Mong, HKG",PointAddress
"Yue Hong House, Hong Tin Court, Kwun Tong","Kwun Tong","Yue Hong House, Hong Tin Court","2020-02-04 00:00:00",19,"Yue Hong House, Hong Tin Court, 47 Kai Tin Road, Lam Tin, Kwun Tong",100,114.2343564,22.30777041,"Yue Hong House, Hong Tin Court, 47 Kai Tin Road, Lam Tin, Kwun Tong, HKG",PointAddress
"Yue Hong House, Hong Tin Court, Kwun Tong","Kwun Tong","Yue Hong House, Hong Tin Court","2020-02-04 00:00:00",17,"Yue Hong House, Hong Tin Court, 47 Kai Tin Road, Lam Tin, Kwun Tong",100,114.2343564,22.30777041,"Yue Hong House, Hong Tin Court, 47 Kai Tin Road, Lam Tin, Kwun Tong, HKG",PointAddress
"Yue Hong House, Hong Tin Court, Kwun Tong","Kwun Tong","Yue Hong House, Hong Tin Court","2020-02-04 00:00:00",20,"Yue Hong House, Hong Tin Court, 47 Kai Tin Road, Lam Tin, Kwun Tong",100,114.2343564,22.30777041,"Yue Hong House, Hong Tin Court, 47 Kai Tin Road, Lam Tin, Kwun Tong, HKG",PointAddress
"Ko Mong building, 142 - 146 Shau Kei Wan Road, Eastern",Eastern,"Ko Mong building, 142 - 146 Shau Kei Wan Road","2020-02-05 00:00:00",23,"Ko Mong Building, 142-146 Shau Kei Wan Road, Shau Kei Wan, Eastern",100,114.2223013,22.28127504,"Ko Mong Building, 142-146 Shau Kei Wan Road, Shau Kei Wan, Eastern, HKG",PointAddress
"Sui Shek House, Shek Mun Estate Phase II, Sha Tin","Sha Tin","Sui Shek House, Shek Mun Estate Phase II","2020-02-05 00:00:00",24,"Shek Mun Estate, Sha Tin",80,114.2093714,22.38648818,"Shek Mun Estate, Sha Tin, HKG",Locality
"Ko Mong building, 142 - 146 Shau Kei Wan Road, Eastern District","Eastern District","Ko Mong building, 142 - 146 Shau Kei Wan Road","2020-02-05 00:00:00",23,"Ko Mong Bldg",99.39,114.22236,22.28135,"Ko Mong Bldg, 142 Shau Kei Wan Rd, Sai Wan Ho, Eastern District, HKG",POI
"Block 1, Villa Esplanada, Kwai Tsing","Kwai Tsing","Block 1, Villa Esplanada","2020-02-05 00:00:00",21,"1 Villa Esplanada, Tsing Yi, Kwai Tsing",98.28,114.1059178,22.36181306,"1 Villa Esplanada, Tsing Yi, Kwai Tsing, HKG",StreetAddress
"Block 1, Villa Esplanada, Kwai Tsing","Kwai Tsing","Block 1, Villa Esplanada","2020-02-05 00:00:00",22,"1 Villa Esplanada, Tsing Yi, Kwai Tsing",98.28,114.1059178,22.36181306,"1 Villa Esplanada, Tsing Yi, Kwai Tsing, HKG",StreetAddress
"Tower 10, The Palazzo, Sha Tin","Sha Tin","Tower 10, The Palazzo","2020-02-06 00:00:00",26,"The Palazzo, Sha Tin",87.83,114.1991685,22.39526619,"The Palazzo, Sha Tin, HKG",Locality
