COUNT(*),TRAIN_ENTRY_STN,day_date,name,number,lng,lat
41714,1,1,Central,1,114.15783006059156,22.282889953258344
16936,2,1,Admiralty,2,114.16577995224785,22.27850005107052
51018,3,1,"Tsim Sha Tsui",3,114.17217004385712,22.296980025535273
30414,4,1,Jordan,4,114.1712900738644,22.30530999105592
33686,5,1,"Yau Ma Tei",5,114.17066994892956,22.312930011108545
64388,6,1,"Mong Kok",6,114.16936000000008,22.319290043857155
16972,7,1,"Shek Kip Mei",7,114.16918002553528,22.33152998889155
23603,8,1,"Kowloon Tong",8,114.17634998110128,22.336800029430407
20947,9,1,"Lok Fu",9,114.18767007660574,22.337959930607735
47900,10,1,"Wong Tai Sin",10,114.19153005107044,22.341740022217067
24145,11,1,"Diamond Hill",11,114.2030000510705,22.339350000000024
32633,12,1,"Choi Hung",12,114.20825001168548,22.33464004775228
36818,13,1,"Kowloon Bay",13,114.214125,22.323178
14640,14,1,"Ngau Tau Kok",14,114.21980993060778,22.315360025535245
47524,15,1,"Kwun Tong",15,114.22752992339441,22.31125992339436
37771,16,1,"Prince Edward",16,114.16794994892959,22.325770069392362
54291,17,1,"Sham Shui Po",17,114.16318007660573,22.330140018321906
31924,18,1,"Cheung Sha Wan",18,114.1578999888916,22.335390076605727
24340,19,1,"Lai Chi Kok",19,114.14864997446492,22.33756004385713
27225,20,1,"Mei Foo",20,114.14035992599234,22.336540003461565
13397,21,1,"Lai King",21,114.12674991834535,22.347930000576984
34830,22,1,"Kwai Fong",22,114.12837998773772,22.357369969415874
18078,23,1,"Kwai Hing",23,114.13141992281744,22.36377998773771
11016,24,1,"Tai Wo Hau",24,114.12613993940859,22.37098994113932
36773,25,1,"Tsuen Wan",25,114.1177899489296,22.37369005107052
18579,26,1,"Sheung Wan",26,114.15274003664378,22.28643000779034
27707,27,1,"Wan Chai",27,114.1732299450345,22.277409930607767
49702,28,1,"Causeway Bay",28,114.18253004284664,22.27864004674172
7658,29,1,"Tin Hau",29,114.19205993392599,22.282590036643768
12467,30,1,"Fortress Hill",30,114.19361003664379,22.28823998167821
22037,31,1,"North Point",31,114.20060992339438,22.291300054965657
11796,32,1,"Quarry Bay",32,114.20954993724415,22.289299963356328
27419,33,1,"Tai Koo",33,114.21613000000002,22.28469007775953
13554,34,1,"Sai Wan Ho",34,114.2221100366438,22.281960011108573
23319,35,1,"Shau Kei Wan",35,114.228720045011,22.278990063332838
11320,36,1,"Heng Fa Chuen",36,114.24024995224786,22.276829952247834
25000,37,1,"Chai Wan",37,114.23688006939241,22.26472006939234
32233,38,1,"Lam Tin",38,114.23301008050085,22.307350003895213
18785,39,1,"Hong Kong - TCL",39,114.15833992339435,22.284799923394367
5712,40,1,"Kowloon - TCL",40,114.16140890000008,22.304960300000065
13830,41,1,Olympic,41,114.15930003505629,22.318309948352688
26551,42,1,"Tsing Yi - TCL",42,114.10739006939241,22.35937995946118
25095,43,1,"Tung Chung",43,113.93957992339436,22.290329977783045
31413,48,1,"Yau Tong",48,114.23748998831465,22.296900049483018
23819,49,1,"Tiu Keng Leng",49,114.26291993782104,22.31025004385713
36044,50,1,"Tseung Kwan O",50,114.26114993392595,22.307809988891524
30523,51,1,"Hang Hau",51,114.263820067228,22.315919962202496
27235,52,1,"Po Lam",52,114.2574100516475,22.322580073287522
18235,53,1,"Nam Cheong",53,114.1537900366438,22.327170069392352
3084,54,1,"Sunny Bay",54,114.02802001110851,22.332259952247835
1381,55,1,"Disneyland Resort",55,114.04561996335634,22.315429923394397
14142,57,1,"LOHAS Park",57,114.26743005943777,22.29632995715352
30242,64,1,"Hung Hom",64,114.18119001615749,22.303469972734085
27464,65,1,"Mong Kok East",65,114.17233006939236,22.322149923394367
48272,67,1,"Tai Wai",67,114.1804199633564,22.37256002943039
32738,68,1,"Sha Tin",68,114.18755995614299,22.383039988891557
17633,69,1,"Fo Tan",69,114.19827994503444,22.394890030584275
9754,71,1,University,71,114.21045998052429,22.4132800366438
31173,72,1,"Tai Po Market",72,114.17071001832196,22.443980066074133
20762,73,1,"Tai Wo",73,114.16050992339434,22.450849923394408
33703,74,1,Fanling,74,114.1391299988462,22.492160051647435
45392,75,1,"Sheung Shui",75,114.12784995946122,22.501629948352672
23606,76,1,"Lo Wu",76,114.11083005799358,22.52725002178341
8603,78,1,"Lok Ma Chau",78,114.06682998658393,22.515449992209764
23068,80,1,"East Tsim Sha Tsui",80,114.17384998167826,22.294960017311357
14731,81,1,"Sai Ying Pun",81,114.14272199999999,22.285553
12193,82,1,HKU,82,114.1350301,22.2840384
16513,83,1,"Kennedy Town",83,114.12890300000001,22.28124
8964,84,1,"Ho Man Tin",84,114.18590041239796,22.30784042982629
18540,85,1,Whampoa,85,114.189568,22.305115
4216,86,1,"Ocean Park",86,114.17450600000001,22.248742
8176,87,1,"Wong Chuk Hang",87,114.168091,22.248216
7381,88,1,"Lei Tung",88,114.15365990000002,22.2409395
8014,89,1,"South Horizons",89,114.14905003664371,22.242480003895167
45,90,1,"Hin Keng",90,114.16826680000001,22.364007
80,91,1,"Kai Tak",91,114.19955900000001,22.330595000000002
6171,96,1,"Che Kung Temple",96,114.18540005943771,22.37502001110856
14341,97,1,"Sha Tin Wai",97,114.19460002553524,22.37697994892961
11812,98,1,"City One",98,114.20392998889156,22.38296004385716
12006,99,1,"Shek Mun",99,114.20800002221708,22.387330003895197
6431,100,1,"Tai Shui Hang",100,114.22178006665104,22.407809969992762
9361,101,1,"Heng On",101,114.22573000057699,22.417830003895208
16175,102,1,"Ma On Shan",102,114.23117993060772,22.424839919499245
10252,103,1,"Wu Kai Sha",103,114.24346002553534,22.42799006939235
10642,111,1,Austin,111,114.16620003664377,22.306170018321925
24528,114,1,"Tsuen Wan West",114,114.11059992613569,22.36833999942313
13379,115,1,"Kam Sheung Road",115,114.06250002784294,22.43524995556607
30052,116,1,"Yuen Long",116,114.03383005395511,22.446229954989125
22666,117,1,"Long Ping",117,114.02506000057696,22.447659984996434
51883,118,1,"Tin Shui Wai",118,114.00481004775234,22.44861993782111
24361,119,1,"Siu Hong",119,113.97869005107054,22.410760024524716
33929,120,1,"Tuen Mun",120,113.97268995614296,22.39415993782111
